ردیف,تصویر,تاریخ,دسته‌بندی‌ها,متن پرامپت,نام فایل تصویر,عنوان تصویر
407,,17.07.2026 13:17:11,سایر,"یک سلفی آینه‌ای فوتورئالیستی عمودی با نسبت تصویر 9:16 ایجاد کن که رابط کاربری Apple Music را با دقت کامل بازسازی کند؛ بدون هیچ‌گونه تغییر در چیدمان، مقیاس یا محتوا.
کادربندی به‌صورت مدیوم کلوز از میانه‌ی تنه تا کمی بالاتر از هود باشد؛ سوژه دقیقاً در مرکز تصویر قرار گرفته و مستقیماً رو‌به‌روی آینه ایستاده است. گوشی هوشمند در دست راست و کمی خارج از محور عمودی مرکزی نگه داشته شده و بخشی از صورت را می‌پوشاند و قسمتی از صورت فرد (مشابه عکس آپلود شده) دیده میشود. دست چپ به‌طور طبیعی در کنار بدن قرار دارد و بخشی از آن در پایین کادر بریده شده است.
سوژه یک تیشرت باکسی کلاه دار روشن به تن دارد که کلاه آن کاملاً روی سر قرار گرفته و شکلی بیضی و نرم پیرامون یک کلاه بیسبال سبز زیتونی تیره با نوشته‌ی گلدوزی‌شده‌ی سفید ایجاد کرده است.
روی تیشرت عکس یک لیموناد سبز رنگ پر از یخ تابستونی باشه
پس‌زمینه یک دیوار ساده به رنگ خاکستری گرم/بژ است؛ بدون هیچ لبه، وسیله یا عنصر قابل مشاهده. نورپردازی با نور طبیعی نرم و پخش‌شده از سمت چپ انجام شده و سایه‌های ملایم، هایلایت‌های کنترل‌شده و مشکی‌های روشن‌شده ایجاد می‌کند.
در نیمه‌ی بالایی تصویر، وسط تصویر ، پشت سر فرد یک لایه‌ی رابط کاربری Apple Music با افکت شیشه‌ی مات و نیمه‌شفاف (Frosted Glass) شناور باشد. این رابط شامل یک فهرست عمودی با کاورهای مربعی آلبوم در سمت چپ، عنوان آهنگ و نام هنرمند به‌صورت چپ‌چین، و آیکون سه‌نقطه در سمت راست است که تمام نوشته ها پشت سر فرد هستند.
ترتیب آیتم‌ها باید دقیقاً به شکل زیر باشد:
“mara bebakhsh” — Alireza Ghorbani
” To bi man” — Shadmehr Aghili
“mano bespar” — Mehrad Hidden
“Hezaro yek shab”— Erfan tahmasbi
“joonami” —  Novan
یک نوار پیشرفت پخش (Playback Scrub Bar) به‌صورت افقی در قسمت پایین رابط کاربری شیشه ای. زمان‌ها باید دقیقاً به شکل زیر نمایش داده شوند:
سمت چپ: 1:02
سمت راست: -1:52
در زیر نوار پخش، آیکون‌های پخش Apple Music با خطوط سفید نازک در مرکز قرار داشته باشند. در سمت چپ آن‌ها یک آیکون ستاره و در سمت راست یک آیکون شبیه AirPlay دیده شود.
رنگ‌بندی کلی تصویر گرم و خنثی با اشباع رنگی اندک، سبزهای ملایم و خاموش باشد و حس آرام، درون‌نگر، دنج و مدرن را منتقل کند. بر تقارن، فضای خالی (Negative Space) و تضاد میان بافت نرم پارچه و رابط کاربری دیجیتال تمیز و مینیمال تأکید شود.
محدودیت‌های منفی (Negative Prompt):
هرگونه تغییر در عناصر رابط کاربری، متن یا کاور آلبوم‌های اشتباه، نمایش هر بخشی از صورت، شلوغی پس‌زمینه، نورپردازی خشن، اعوجاج، تغییر چیدمان، تغییر مقیاس، عناصر اضافی، دست‌های غیرطبیعی، نویز زیاد، افکت‌های اغراق‌شده یا هرگونه عدم تطابق با رابط Apple Music ممنوع است.",0407.jpg,مردی
408,,17.07.2026 13:20:16,زوج / عاشقانه، پرتره / سلفی,"Take a photo taken with a Polaroid camera. The photo should look like an ordinary photograph, without an explicit subject or property. The photo should have a slight blur and consistent light source, like a flash from a dark room, scattered throughout the photo.Don't change the face. Change the background behind those two people with white curtains. With hugging each other.",0408.jpg,زوجی، در آغوش گرفتن یکدیگر
409,,17.07.2026 13:20:16,زوج / عاشقانه، پرتره / سلفی,"Take a photo taken with a Polaroid camera. The photo should look like an ordinary photograph, without an explicit subject or property. The photo should have a slight blur and consistent light source, like a flash from a dark room, scattered throughout the photo.Don't change the face. Change the background behind those two people with white curtains. With hugging each other.",0409.jpg,زوجی، در آغوش گرفتن یکدیگر
410,,17.07.2026 13:20:16,زوج / عاشقانه، پرتره / سلفی,"Take a photo taken with a Polaroid camera. The photo should look like an ordinary photograph, without an explicit subject or property. The photo should have a slight blur and consistent light source, like a flash from a dark room, scattered throughout the photo.Don't change the face. Change the background behind those two people with white curtains. With hugging each other.",0410.jpg,زوجی، در آغوش گرفتن یکدیگر
411,,17.07.2026 13:20:16,زوج / عاشقانه، پرتره / سلفی,"Take a photo taken with a Polaroid camera. The photo should look like an ordinary photograph, without an explicit subject or property. The photo should have a slight blur and consistent light source, like a flash from a dark room, scattered throughout the photo.Don't change the face. Change the background behind those two people with white curtains. With hugging each other.",0411.jpg,زوجی، در آغوش گرفتن یکدیگر
412,,17.07.2026 13:23:21,پرتره / سلفی,"🔗Вертикальный фотореалистичный зеркальный селфи-кадр 9:16 в мягкой романтичной editorial-эстетике: молодая девушка с длинными объемными волосами  как на исходном фото, уложенными крупными свободными волнами, прядь падает на одну сторону лица; лицо почти полностью закрыто серым смартфоном с тремя камерами, видны аккуратная выразительная бровь и четкая черная стрелка на веке. Поза расслабленная и женственная: одна рука держит телефон близко к зеркалу, другая приподнята у волос, будто поправляет локон; взгляд направлен в экран. На руках светло-розовый миндалевидный маникюр, тонкие золотые кольца, изящный браслет, на шее тонкая цепочка с маленькой подвеской-сердцем. Одежда нежная, пастельно-розовая, с тонкими бретелями, открытые плечи. Нижнюю часть кадра плотно заполняет роскошный букет светло-розовых роз, крупные бутоны в переднем плане частично перекрывают тело и создают глубину. Съемка через округлое арочное зеркало с деревянной нижней кромкой, близкое кадрирование от груди вверх, легкая интимная композиция, резкий фокус на телефоне, лице и розах, естественная малая глубина резкости. На фоне отражаются светлая фактурная штукатурка и приглушенные серые вертикальные панели. Яркий боковой солнечный свет дает сияющие блики на коже, волосах и лепестках, мягкие тени, пастельная розово-бежевая палитра с теплыми золотыми акцентами, воздушное романтичное настроение, реалистичная эстетика beauty/fashion social media photography.
ЦВЕТОКОР: Фотореализм, высокая детализация кожи, ткани и реквизита. качество снимка как у iPhone 17. фото в движении, не постановочное.
natural skin tones with slightly desaturated shadows and boosted contrast. realistic matte-velvety skin texture, visible pores, soft highlight on raised areas. high detail on face and clothing. strictly preserve original facial features and appearance. 9:16.copy my face 100%",0412.jpg,زنی، در حال گرفتن سلفی (سبک ادیتوریال)
413,,17.07.2026 13:26:16,مد و فشن (ادیتوریال)، محصول / لایف‌استایل، پرتره / سلفی,"Ultra-realistic, cinematic close-up portrait of a man using the exact face from the uploaded reference image (no alteration to facial structure, skin tone, or features). He has thick, naturally textured hair and wears black sunglasses with realistic reflections.
The subject is captured mid-action, confidently adjusting his sunglasses with one hand, conveying an intense, self-assured expression. His other wrist is adorned with multiple rugged leather bands, adding a raw, masculine edge to the look.
He is dressed in a half-unbuttoned checkered flannel shirt in muted blue tones, with visible fabric texture and natural folds.
Lighting & Style:
Cinematic natural lighting with soft highlights and controlled shadows, shallow depth of field, ultra-sharp facial details, realistic skin texture, high contrast, editorial fashion photography aesthetic, 8K
photorealism, professional DSLR look.",0413.jpg,مردی، با پیراهن قرمز (سبک سینمایی و ادیتوریال)
414,,17.07.2026 13:30:42,پرتره / سلفی,"Не меняя внешности женщины с фото, изображена молодая женщина, стоящая на фоне мягко освещённой стены с тёплым светом, отбрасывающим чёткую тень её силуэта.
Она немного наклонила голову и улыбается, будто погружена в радостное настроение, её лицо размыто и детали неразличимы, однако общее выражение лица создаёт атмосферу лёгкости и счастья.
Её волосы собраны в высокий пучок с несколькими выбившимися прядями, а на ушах видны крупные серьги, что подчёркивает торжественный стиль.
Женщина одета в длинное, чёрное платье из кружева с узорами, плотно облегающее фигуру, и тонкие перчатки из того же материала, что придаёт образу элегантную и в то же время загадочную изысканность.
Она протягивает вперёд свои руки, держа в каждой руке блестящие, золотистые свечи в форме цифр «2» и «5», украшенные маленькими бантиками того же оттенка.
Свет тонко играет на металлической поверхности свечей, отражая мягкий блеск и создавая контраст с темнотой кружева.
Композиция кадра подчёркнута фокусом на руках с цифрами, в то время, как сама женщина и фон за ними остаются слегка размытыми, что придаёт снимку кинематографическую глубину и интимность момента празднования.
Общая палитра выдержана в тёплых, приглушённых тонах с акцентом на золотистый блеск и текстуру кружева, создавая ощущение вечерней обстановки с мягким светом, подчёркивающим изящество форм и настроение радостного торжества, фотореалистичное изображение, высокая текстурная детализация, высокое качество, разрешение 8K.copy my face 100%",0414.jpg,زنی، ایستاده
415,,17.07.2026 13:33:21,دریا / ساحل، محصول / لایف‌استایل، پرتره / سلفی,"Portrait of IMAGE1 waist-deep in calm ocean water during golden hour sunset, warm amber and orange sky with sun low on horizon, water rippling around chest, wearing white futuristic slim cat-eye sunglasses with orange tinted lenses, silver chain necklace, small anchor tattoo on upper arm, wet skin glistening, looking back over shoulder at camera, cinematic warm tone, film photography aesthetic, natural light.",0415.jpg,یک گربه، در ساحل دریا، در ساعت طلایی غروب (سبک سینمایی و سایبرپانک)
416,,17.07.2026 13:36:21,سایر,"Transform the uploaded photo into a trendy social media edit. Create a realistic chibi avatar of the person standing beside them with identical clothes, hairstyle and pose. Add a giant floating Spotify-style music player behind them playing ""[SONG NAME]"" by ""[ARTIST NAME]"". Show album cover, song title, artist name, playback controls and progress bar. Realistic lighting and shadows matching the photo, cute anime character, aesthetic urban vibe, highly detailed, cinematic, social media trend edit, 9:16.",0416.jpg,فردی، ایستاده، در فضای شهری (سبک سینمایی و انیمه)
417,,17.07.2026 13:36:21,سایر,"Transform the uploaded photo into a trendy social media edit. Create a realistic chibi avatar of the person standing beside them with identical clothes, hairstyle and pose. Add a giant floating Spotify-style music player behind them playing ""[SONG NAME]"" by ""[ARTIST NAME]"". Show album cover, song title, artist name, playback controls and progress bar. Realistic lighting and shadows matching the photo, cute anime character, aesthetic urban vibe, highly detailed, cinematic, social media trend edit, 9:16.",0417.jpg,فردی، ایستاده، در فضای شهری (سبک سینمایی و انیمه)
418,,17.07.2026 13:39:11,حیوانات، پرتره / سلفی,"A 4K ultra-realistic portrait of a young girl, framed from the chest up (not full body), designed for Instagram story or profile
picture. The background is a luxurious Persian red carpet design (only behind her, not on the ground). Sunlight shines from one
side,casting natural
warm light across half of her face. She is
wearing an elegant dress inspired by Persian carpet
patterns, with authentic Iranian colors and
motifs.Her facial
features remain
unchanged.She is
holding a Persian cat in her hands
با چهره عکس رفرنس بدون کوچیک ترین تغییری در صورت و عکس با این پرامپت بالا برام بساز",0418.jpg,یک گربه (سبک فوق واقع‌گرایانه)
419,,17.07.2026 13:42:11,پرتره / سلفی,":Create a Photorealistic Hong Kong retro portrait with authentic 1990s film look.
Use image[0] as face reference. Half-body. Subject leaning against newspaper-covered wall, gaze soft and
Hair messy, strands falling across face.
Makeup glossy lips, dewy skin.
Narrow Hong Kong room, walls plastered with old yellowed Cantonese newspapers.
Tungsten bulb glow with faint green spill. Shadows heavy, highlights bloom. please do not alter facial features .
با چهره عکس  رفرنس بدون کوچیک تغییری در عکس و چهره با پرامپت بالا برام بساز نمیخوام هیچ تغییری در عکس ایجاد بشه",0419.jpg,یک تصویر هنری، تکیه‌داده
420,,17.07.2026 13:45:10,مد و فشن (ادیتوریال)، پرتره / سلفی,"A cinematic black-and-white portrait of a handsome young South Asian man leaning over the backrest of a classic wooden chair, resting his folded arms on the top rail with one hand gently covering part of his mouth. He gazes directly into the camera with deep, expressive eyes and a calm, mysterious expression. He wears a crisp white shirt with the top buttons open, sleeves casually rolled up, a beaded bracelet, and a minimalist ring. Soft studio lighting creates dramatic shadows, highlighting his sharp jawline, textured hair, and realistic skin details. Clean dark background, shallow depth of field, editorial fashion photography, timeless monochrome aesthetic, emotional and introspective mood, ultra-realistic, photorealistic, HDR, 8K quality, DSLR look, 85mm lens, f/1.8, high contrast, vertical 9:16 composition.
Prompt 2
A cinematic color portrait of a handsome young South Asian man leaning over the backrest of a classic wooden chair, resting his folded arms on the top rail with one hand gently covering part of his mouth. He looks directly into the camera with deep, expressive eyes and a calm, mysterious expression. He wears a crisp white linen shirt with the top buttons open and sleeves casually rolled up, paired with a black beaded bracelet and a minimalist silver ring. His hair is naturally styled with soft volume, and his skin has a warm, healthy glow. Rich warm skin tones, natural wood textures, soft golden studio lighting with subtle rim light, premium editorial fashion photography, luxurious cinematic color grading, shallow depth of field, clean dark charcoal background, ultra-realistic skin texture, razor-sharp focus, DSLR quality, 85mm lens, f/1.8, HDR, 8K resolution, photorealistic, magazine cover aesthetic, vertical 9:16 composition.",0420.jpg,مردی، با پیراهن سفید، تکیه‌داده، در استودیو عکاسی (سبک سینمایی و ادیتوریال)
421,,17.07.2026 13:48:06,زوج / عاشقانه، پرتره / سلفی,"Professional, ultra-realistic editorial couple portrait.
The bride appears with her exact, unchanged natural face, open softly-voluminous hair, and a delicate, high-end tiara. She wears a long, dreamy, white doll-style wedding veil that flows softly behind her (legs and feet intentionally out of frame).
The groom, also with his exact, unchanged natural face, is dressed in a refined, classic black suit with a clean, timeless aesthetic.
The couple stands in a simple, intimate, romantic pose facing the camera — both looking naturally beautiful with authentic expressions.
Their engagement rings and luxury watches are clearly visible, captured with high-detail reflections.
Lighting is soft, cinematic, and realistic; overall mood elegant, modern, and high-fashion
با چهره عکس رفرنس بدون کوچیک ترین تغییری در عکس و صورت با پرامپت بالا برام بساز",0421.jpg,زوجی، با کت‌وشلوار مشکی، در یک ژست خاص (سبک سینمایی و ادیتوریال)
422,,17.07.2026 13:51:06,مد و فشن (ادیتوریال)، پرتره / سلفی,"Don't change his face. Artistic fashion portrait of a young boy in a thick knit black sweater with thick textured yarn. White diamond earrings, golden chain necklace, He was framed in dramatic side-lighting, narrow sunlight cutting through her face to create a striking chiaroscuro effect. The overall ambient background is minimalist, somber, and elegant, rectangular sunglass.reminiscent of high-fashion editorial photography for magazines, the head is a little tilted.
با چهره عکس رفرنس بدون کوچیک ترین تغییری در عکس و چهره با پرامپت بالا برام بساز",0422.jpg,مردی، با سوییشرت مشکی (سبک ادیتوریال و مینیمال)
423,,17.07.2026 13:54:06,پرتره / سلفی,"An ultra-realistic 4K image of a woman, with her facial features unchanged, showcasing full, loose, and shiny hair. A black-and-white, cinematic shot set in a narrow hallway: the model is running and turns to face the camera at a three-quarter angle, softly and invitingly reaching her hand toward the lens as if beckoning someone to follow. The perspective is slightly below eye level, a medium shot with a very shallow depth of field, causing the outstretched hand in the foreground to be softly blurred and the background to melt into a smooth bokeh. She wears an oversized white shirt with a natural fabric texture and a slightly undone collar. The lighting features natural backlight from a doorway, creating a delicate halo around her hair, with low-contrast shadows in the corridor for an intimate, slightly dramatic atmosphere. Jewelry is minimal: a thin ring on her reaching hand and a delicate bracelet or fine chain to avoid distraction. The filter and processing emulate classic film monochrome with slight grain, a warm tonal balance, emphasized midtones, and deep but not overexposed highlights. Crucially, incorporate a technique like multiple exposure or a long exposure effect for a hint of motion blur. Her expression is playful, conveying intimacy and a touch of melancholy. Makeup is natural with a matte complexion, neatly defined brows and lashes, soft cheek contour, and neutral lips to maintain an elegantly restrained look. The overall atmosphere embodies minimalist aesthetics and quiet drama, evoking a personal, almost cinematic moment.",0423.jpg,زنی، با پیراهن سفید، در حال دویدن (سبک سینمایی و سیاه‌وسفید)
424,,17.07.2026 13:57:21,پرتره / سلفی,"Transform the input image into a dark, moody cinematic frame with a premium editorial aesthetic. Apply ultra lowkey lighting with deep crushed blacks and high contrast chiaroscuro, emphasizing dramatic light and shadow interplay. Use a strong top-down directional key light to sculpt the subject's face and body, creating bold shadow falloff and depth. Incorporate subtle geometric LED ceiling lights in the background with a soft glow and controlled bloom for a modern cinematic atmosphere. Add delicate rim lighting along the subject's edges for separation from the background. Keep ambient lighting minimal, allowing shadows to dominate while preserving essential detail. Apply slightly desaturated color grading with cool neutral tones and subtle warm highlights on skin. Maintain a matte finish with soft controlled highlights and no harsh reflections. Add a gentle vignette and a light atmospheric haze for depth. Ensure clean shadow compression with detailed blacks, sharp yet balanced exposure, and strong use of negative space. Include ultra-realistic skin texture, natural muscle definition with soft highlight roll-off, 85mm lens look, shallow depth of field (f/1.8-f/2.8), and subtle cinematic film grain. Avoid over-sharpening, HDR effects, artificial glow, or plastic-looking skin.",0424.jpg,یک تصویر هنری (سبک سینمایی و ادیتوریال)
425,,17.07.2026 14:00:38,سایر,"Add hand-drawn pastel scribble lines, including outlines, swirls, arrows, and cute annotations. Include handwritten Persian text in a casual, messy, and playful style, like personal notes, doodles, and conversations written in فارسی. A soft and clean morning atmosphere with warm sunrise light peeking through, gentle water reflections, high detail, subtle grain texture, Instagram aesthetic, and a minimal yet artistic composition.",0425.jpg,یک تصویر هنری، هنگام طلوع آفتاب (سبک مینیمال)
426,,17.07.2026 14:00:38,سایر,"Add hand-drawn pastel scribble lines, including outlines, swirls, arrows, and cute annotations. Include handwritten Persian text in a casual, messy, and playful style, like personal notes, doodles, and conversations written in فارسی. A soft and clean morning atmosphere with warm sunrise light peeking through, gentle water reflections, high detail, subtle grain texture, Instagram aesthetic, and a minimal yet artistic composition.",0426.jpg,یک تصویر هنری، هنگام طلوع آفتاب (سبک مینیمال)
427,,17.07.2026 15:42:53,زوج / عاشقانه، مد و فشن (ادیتوریال)، پرتره / سلفی,"Intentional artistic motion-blur fashion portrait, ultra-realistic editorial photography, smartphone long-exposure aesthetic, cinematic beauty portrait, extreme close-up composition, vertical Instagram portrait.
A stunning woman with luminous olive-fair skin and delicate symmetrical facial features. Her face remains highly detailed and recognizable, with expressive brown eyes, naturally full dusty-rose lips, defined eyebrows, soft sculpted cheekbones, subtle peach blush, creamy skin texture, delicate highlighter glow, elegant natural makeup, long defined lashes.
Hair styled in a loose low chignon bun positioned behind the neck, soft face-framing strands escaping naturally. One long dark strand falls diagonally across the face, partially covering one eye and creating a mysterious editorial mood. Rich dark brunette hair with glossy highlights.
Wardrobe: elegant high-neck ivory-white chiffon blouse, long sleeves, soft gathered pleats around the neckline and chest, lightweight semi-sheer luxury fabric, refined feminine tailoring, sophisticated and modest styling, flowing texture, premium fashion editorial look.
Accessories: oversized statement gold earrings with intricate sculptural design. Earrings catch warm sunlight and display pronounced motion blur trails. Minimal jewelry otherwise.
Pose: seated at a slight angle, shoulders relaxed, upper body subtly turned away from camera. One hand resting gracefully on the opposite shoulder, fingers elongated and elegant. Head slightly tilted. Direct captivating gaze toward camera. Lips gently parted. Expression calm, confident, mysterious, romantic and effortlessly beautiful.
Lighting: soft natural window light entering from the upper right side. Warm golden-hour illumination. Gentle highlights on skin. Delicate shadow transitions. Creamy atmospheric glow. Cinematic light falloff. No harsh contrast.
Background: clean neutral beige-gray studio wall, minimalist environment, soft texture, uncluttered composition. Subtle shadow cast from window frame on wall. Luxury editorial atmosphere.
Motion Blur Effect:
Strong intentional artistic motion blur throughout the image.
Long-exposure photography aesthetic.
Hair strands showing fluid directional movement.
Gold earrings creating elegant blur streaks.
Hand and shoulder displaying subtle ghosted movement.
Face remains slightly sharper than surrounding elements.
Center of the face retains most detail while edges dissolve into motion.
Dreamlike movement without losing beauty.
Professional panning-camera effect.
Color Grading:
Warm creamy golden tones.
Muted neutral palette.
Soft contrast.
Minimal noise.
Delicate filmic warmth.
Luxury fashion magazine color science.
Natural skin tones.
Subtle cinematic glow.
Fine-art editorial aesthetic.
Photography Details:
85mm portrait lens look,
f/1.8 aperture,
shallow depth of field,
high-end fashion editorial photography,
Vogue-style beauty portrait,
cinematic storytelling,
ultra-realistic skin texture,
soft atmospheric rendering,
ethereal elegance,
Instagram luxury aesthetic,
award-winning fashion photography,
masterpiece,
8K,
high detail,
photorealistic.
Aspect Ratio: 4:5 Instagram Post",0427.jpg,زنی، در یک ژست خاص، در استودیو عکاسی (سبک سینمایی و ادیتوریال)
428,,17.07.2026 17:18:31,دریا / ساحل، شب / نئون / سینمایی، پرتره / سلفی,"Use the provided face and generate an ultra-realistic image with the following characteristics:A black and white portrait of a young man standing by the sea at dusk. He faces the camera with a calm, slightly distant expression. Messy dark hair frames his face, with a small hoop earring in one ear. He wears a black puffer jacket over a dark graphic T-shirt with a sharp, abstract logo. The ocean behind him is textured with small waves, and a low, cloudy horizon stretches across the background. Moody lighting, high contrast, cinematic atmosphere, minimalist composition, cold coastal vibe, shallow emotional tone, editorial photography style.",0428.jpg,مردی، با ژاکت مشکی، ایستاده، در ساحل دریا (سبک سینمایی و ادیتوریال)
429,,17.07.2026 19:16:10,دریا / ساحل، پرتره / سلفی,"Use my uploaded photo as the base. Keep my face, features, and skin tone exactly the same.
Create a soft, moody blue-toned aesthetic with dim lighting. Add subtle freckles across cheeks and nose.
Style hair as loose, slightly messy dark waves with soft strands on the face.
Include thin rectangular glasses in one shot and remove in others.
Expressions: neutral pout, slightly parted lips, and playful pose holding glasses near lips.
Background minimal indoor with soft blur.
High quality, smooth skin, cinematic soft focus.",0429.jpg,فردی، در یک ژست خاص (سبک سینمایی و مینیمال)
430,,17.07.2026 20:14:18,پرتره / سلفی,"Экстремально крупным планом лицо. Девушка прямо к камере, чёрно-белое фото, волосы блестящие длинные  волнистые падают прядями на лицо, она смотрит с игривым взглядом в камеру. Элегантный макияж глаза с длинными острыми черными стрелками, длинные густые ресницы Хайлайтер во внутренних уголках и скулах. Тело в шиммере.Пухлые полностью прокрашенные матовые губы цвета пыльная Роза глянцевая легкий блеск и светло коричневый карандаш по краям. Кинематографический эффект с добавлением зерна Она ведет пальцами по губам, ногти чёрные короткие. Фон — светлая стена. Лучи солнца частично падают на глаза.
Не меняй черты лица
Формат 9:16",0430.jpg,زنی (سبک سیاه‌وسفید)
431,,17.07.2026 20:14:18,پرتره / سلفی,"Экстремально крупным планом лицо. Девушка прямо к камере, чёрно-белое фото, волосы блестящие длинные  волнистые падают прядями на лицо, она смотрит с игривым взглядом в камеру. Элегантный макияж глаза с длинными острыми черными стрелками, длинные густые ресницы Хайлайтер во внутренних уголках и скулах. Тело в шиммере.Пухлые полностью прокрашенные матовые губы цвета пыльная Роза глянцевая легкий блеск и светло коричневый карандаш по краям. Кинематографический эффект с добавлением зерна Она ведет пальцами по губам, ногти чёрные короткие. Фон — светлая стена. Лучи солнца частично падают на глаза.
Не меняй черты лица
Формат 9:16",0431.jpg,زنی (سبک سیاه‌وسفید)
432,,17.07.2026 22:19:53,معماری / فضای داخلی، پرتره / سلفی,"A realistic raw mirror selfie of a handsome young East Asian man with messy textured dark hair, looking down at the phone. He is wearing a black oversized technical hooded windbreaker jacket with a small white text logo on the left chest, and black trousers. He is standing in front of a tall full-length mirror with a thin black rounded frame. He is holding a black smartphone with the camera flash on, creating a bright starburst glare on the mirror surface. One hand is tucked into his jacket pocket. The background reflected in the mirror shows a simple apartment interior with white walls, a corner ceiling, and a dark brown wooden door on the left side. Casual daily outfit check, Gorpcore fashion aesthetic, amateur phone photography style, slight grain, vertical aspect ratio.",0432.jpg,مردی، ایستاده
433,,17.07.2026 22:19:53,معماری / فضای داخلی، پرتره / سلفی,"A realistic raw mirror selfie of a handsome young East Asian man with messy textured dark hair, looking down at the phone. He is wearing a black oversized technical hooded windbreaker jacket with a small white text logo on the left chest, and black trousers. He is standing in front of a tall full-length mirror with a thin black rounded frame. He is holding a black smartphone with the camera flash on, creating a bright starburst glare on the mirror surface. One hand is tucked into his jacket pocket. The background reflected in the mirror shows a simple apartment interior with white walls, a corner ceiling, and a dark brown wooden door on the left side. Casual daily outfit check, Gorpcore fashion aesthetic, amateur phone photography style, slight grain, vertical aspect ratio.",0433.jpg,مردی، ایستاده
434,,18.07.2026 12:11:27,پرتره / سلفی,"""A moody portrait of a woman in a dark shirt and red beret, framed by a red door. Dramatic red lipstick, cinematic lighting, sophisticated vibe.""
ژست: دست روی لبه در، بدن داخل چارچوب، نگاه خیره و مرموز به لنز.
لباس: پیراهن مردانه سرمه‌ای یا مشکی تیره و کلاه برت قرمز تیره.",0434.jpg,زنی، با پیراهن تیره (سبک سینمایی)
435,,18.07.2026 12:16:59,پرتره / سلفی,"Ultra realistic fashion portrait built 100% from the reference image’s unchanged face, reimagined in a clean feminine minimal style; young woman leaning slightly back with a calm contemplative non-smiling expression, right hand near lips wearing a subtle silver ring; dressed in a black fitted turtleneck and wide beige high-waisted feminine trousers; low-angle perspective emphasizing trousers in foreground while face turns slightly toward camera with strong direct presence; neutral gray background with soft studio lighting shaping a modern elegant editorial mood; presentation-lock and wardrobe-integrity-lock enforced; no logo/text/watermark/distortion; 2:3 aspect ratio.",0435.jpg,زنی، با لبخند، در استودیو عکاسی (سبک ادیتوریال و مینیمال)
436,,18.07.2026 12:16:59,پرتره / سلفی,"Ultra realistic fashion portrait built 100% from the reference image’s unchanged face, reimagined in a clean feminine minimal style; young woman leaning slightly back with a calm contemplative non-smiling expression, right hand near lips wearing a subtle silver ring; dressed in a black fitted turtleneck and wide beige high-waisted feminine trousers; low-angle perspective emphasizing trousers in foreground while face turns slightly toward camera with strong direct presence; neutral gray background with soft studio lighting shaping a modern elegant editorial mood; presentation-lock and wardrobe-integrity-lock enforced; no logo/text/watermark/distortion; 2:3 aspect ratio.",0436.jpg,زنی، با لبخند، در استودیو عکاسی (سبک ادیتوریال و مینیمال)
437,,18.07.2026 12:23:01,مد و فشن (ادیتوریال)، محصول / لایف‌استایل,"young stylish man sitting in an upscale cafe, wearing sunglasses, drinking iced coffee, designer streetwear, warm natural window light, luxury coffee shop atmosphere, soft shadows, relaxed confident energy, editorial fashion photography, Instagram influencer aesthetic, premium lifestyle campaign, photorealistic, 8k
Style: expensive natural lighting, premium clothing, shallow depth of field, 85mm lens, ultra realistic skin texture, natural shadows, high-end fashion campaign, effortless confidence, magazine quality.",0437.jpg,مردی، نشسته، در یک کافه (سبک ادیتوریال و استریت‌ور)
438,,18.07.2026 12:26:01,پرتره / سلفی,"@darikoshkaaaa_:5) Фото 3:4. На этой фотографии запечатлен молодой человек в профиль, прикуривающий сигарету на ночной улице. Снимок пропитан мрачной, меланхоличной атмосферой.
Основной объект и внешность
• Действие: Молодой человек держит зажигалку обеими руками, защищая пламя от ветра, и прикуривает сигарету. Из его рта и носа уже поднимается густой клуб сизого дыма, частично скрывающий лицо.
• Внешность: У него бледная кожа и темные, слегка растрепанные волосы.
• Одежда: Он одет в объемную черную куртку или парку с капюшоном, что характерно для холодного времени года.
Окружение и освещение
• Фон: Действие происходит ночью в городском парке или на площади. На заднем плане в расфокусе видны уличные фонари, светящиеся белым светом, и темные силуэты деревьев без листвы.
• Свет: Основным источником света в кадре является вспышка или яркий фонарь спереди, который создает резкие контрасты, и теплое свечение от пламени зажигалки возле лица.
• Атмосфера: Снимок напоминает кадр из артхаусного кино или эстетику «dark academia». Он передает ощущение одиночества и задумчивости в ночном городе.
Качество как у iPhone 5s"".",0438.jpg,یک تصویر هنری، در خیابان شهر، در شب
439,,18.07.2026 12:29:01,پرتره / سلفی,"Промт: Экстремально крупный пла лица сбоку. Кинематографические эффект с добавлением зерна.  Она смотрит точно  в камеру лежа на животе на кровати и крепко обнимая кремовую   подушку. Солнечный свет полосой освещает её лицо
На глазах стрелки, глаза серо-светлые ресницы  длинные , накрашенные.
Качество 8К
Волосы распущенные закрывают часть лица
Качество 8К
Фон светлая стенавысокакачественный макро портрет , высокая детализация 4к. Не меняй лицо!!
با چهره عکس رفرنس بدون کوچیک ترین تغییری در عکس و صورت با پرامپت بالا برام بساز",0439.jpg,یک تصویر هنری
